coreproject,pmid,title,authors,publication_date,citation_count,relative_citation_ratio,reason
U10CA031946,1349163,The HER2 (c-erbB-2) oncogene is frequently amplified in in situ carcinomas of the breast.,E Liu;A Thor;M He;M Barcos;B M Ljung;C Benz,1992-05-01,195.0,4.332,Published before 2000
ZIACP010207,1370120,In vivo cytogenetic activity of diphenylhydantoin in mice.,A F McFee;R R Tice;M D Shelby,1992-01-01,8.0,0.452,Published before 2000
U10CA031946,1383821,"Chemotherapy of advanced Hodgkin's disease with MOPP, ABVD, or MOPP alternating with ABVD.",G P Canellos;J R Anderson;K J Propert;N Nissen;M R Cooper;E S Henderson;M R Green;A Gottlieb;B A Peterson,1992-11-19,878.0,23.072,Published before 2000
U10CA031946,1384949,"Comparison of psychosocial adaptation and sexual function of survivors of advanced Hodgkin disease treated by MOPP, ABVD, or MOPP alternating with ABVD.",A B Kornblith;J Anderson;D F Cella;S Tross;E Zuckerman;E Cherin;E S Henderson;G P Canellos;M P Kosty;M R Cooper,1992-11-15,55.0,1.816,Published before 2000
U10CA031946,1394054,Hodgkin disease survivors at increased risk for problems in psychosocial adaptation. The Cancer and Leukemia Group B.,A B Kornblith;J Anderson;D F Cella;S Tross;E Zuckerman;E Cherin;E Henderson;R B Weiss;M R Cooper;R T Silver,1992-10-15,110.0,4.25,Published before 2000
U10CA031946,1433344,ras oncogene activation and occupational exposures in acute myeloid leukemia.,J A Taylor;D P Sandler;C D Bloomfield;D L Shore;E D Ball;A Neubauer;O R McIntyre;E Liu,1992-11-04,75.0,1.986,Published before 2000
U10CA031946,1588374,Risk factors for high-dose cytarabine neurotoxicity: an analysis of a cancer and leukemia group B trial in patients with acute myeloid leukemia.,E H Rubin;J W Andersen;D T Berg;C A Schiffer;R J Mayer;R M Stone,1992-06-01,68.0,2.075,Published before 2000
U10CA031946,1608355,Phase II trial of ifosfamide/mesna and mitoxantrone in previously treated patients with non-Hodgkin's lymphoma: cancer and leukemia group B study 8753.,D C Case;M T Santarelli;R W Carey;J Anderson;A Gottlieb,1992-01-01,7.0,0.27,Published before 2000
U10CA031946,1623485,Pregnancy outcome in survivors of advanced Hodgkin disease.,A J Janov;J Anderson;D F Cella;E Zuckerman;A B Kornblith;J C Holland;A F Kantor;F P Li;E Henderson;R B Weiss,1992-08-01,13.0,0.523,Published before 2000
U10CA031946,1639635,Post-mastectomy radiotherapy following adjuvant chemotherapy and autologous bone marrow transplantation for breast cancer patients with greater than or equal to 10 positive axillary lymph nodes. Cancer and Leukemia Group B.,L B Marks;E C Halperin;L R Prosnitz;M Ross;J J Vredenburgh;G L Rosner;W Peters,1992-01-01,97.0,3.452,Published before 2000
U10CA031946,1735010,Phase I-II trial of high-dose melphalan in previously untreated stage III multiple myeloma: Cancer and Leukemia Group B study 8512.,D C Case;M Coleman;A Gottlieb;K McCarroll,1992-01-01,3.0,0.105,Published before 2000
U10CA031946,1743622,Phase II trial of ifosfamide and mesna in previously treated patients with non-Hodgkin's lymphoma: Cancer and Leukemia Group B study 8552.,D C Case;J Anderson;T J Ervin;A Gottlieb,1991-01-01,10.0,0.39,Published before 2000
U10CA031946,1783527,Phase II study of echinomycin in patients with advanced breast cancer: a report of Cancer and Leukemia Group B protocol 8641.,R L Schilsky;D Faraggi;A Korzun;N Vogelzang;J Ellerton;W Wood;I C Henderson,1991-08-01,19.0,0.478,Published before 2000
U10CA031946,2208013,Survival of premenopausal women with metastatic breast cancer. Long-term follow-up of Eastern Cooperative Group and Cancer and Leukemia Group B studies.,G Falkson;R S Gelman;L Leone;C I Falkson,1990-10-01,46.0,1.439,Published before 2000
ZIACP010207,2228129,Toxicity and mutagenicity of a mixture of 25 chemicals found in contaminated groundwater.,M D Shelby;R R Tice;D M DeMarini;R S Yang,1990-01-01,13.0,0.737,Published before 2000
U10CA031946,2283562,Comparison of sex steroid receptor determinations in human breast cancer by enzyme immunoassay and radioligand binding.,R Pasic;B Djulbegovic;J L Wittliff,1990-01-01,27.0,0.663,Published before 2000
U10CA031946,2420443,"Treatment of metastatic malignant melanoma with vinblastine, dacarbazine, and cisplatin: a report from the Cancer and Leukemia Group B.",R W Carey;J R Anderson;M Green;R R Ellison;L Nathanson;B J Kennedy,1986-03-01,22.0,1.085,Published before 2000
U10CA031946,2650758,Diverse prognosis in metastatic breast cancer: who should be offered alternative initial therapies?,R Mick;C B Begg;K H Antman;A H Korzun;E Frei,1989-01-01,74.0,2.619,Published before 2000
ZIACP010207,2770777,Effect of processing time on the quality of mouse bone-marrow metaphase preparations.,C A Luke;R R Tice,1989-09-01,3.0,0.078,Published before 2000
ZIACP010207,2792052,"Effect of exposure route, regimen, and duration on benzene-induced genotoxic and cytotoxic bone marrow damage in mice.",R R Tice;C A Luke;R T Drew,1989-07-01,23.0,1.352,Published before 2000
U10CA031946,3032434,High-dose etoposide therapy for extensive small cell lung cancer: a Cancer and Leukemia Group B Study.,S D Luikart;K J Propert;C R Modeas;M R Green;M C Perry,1987-05-01,9.0,0.394,Published before 2000
U10CA031946,3132591,Phase II trial of ifosfamide and mesna in previously treated patients with non-Hodgkin's lymphoma: Cancer and Leukemia Group B Study 8552.,D C Case;J Anderson;T J Ervin;A Gottlieb,1988-01-01,16.0,0.812,Published before 2000
ZIACP010207,3228715,The cytogenetic evaluation of in vivo genotoxic and cytotoxic activity using rodent somatic cells.,R R Tice,1988-12-01,11.0,0.388,Published before 2000
R43CA081787,3276053,"Failure of antithymocyte serum postgrafting to overcome ""resistance"" to DLA-nonidentical canine marrow grafts.",R Storb;R F Raff;F R Appelbaum;F Schuening;B Sandmaier;H Shulman;H J Deeg;T Graham,1988-01-01,5.0,0.179,Published before 2000
ZIACP010207,3288837,Chloroprene and isoprene: cytogenetic studies in mice.,R R Tice;R Boucher;C A Luke;D E Paquette;R L Melnick;M D Shelby,1988-03-01,36.0,1.984,Published before 2000
ZIACP010207,3405236,"The effect of exposure regimen and duration on benzene-induced bone marrow damage in mice. II. Strain comparisons involving B6C3F1, C57B1/6 and DBA/2 male mice.",C A Luke;R R Tice;R T Drew,1988-08-01,26.0,1.703,Published before 2000
U10CA031946,3530451,Phase II trial of m-AMSA therapy in refractory Hodgkin's disease and non-Hodgkin's lymphoma: Cancer and Leukemia Group B Study 7972.,M E Rybak;J R Anderson;R F Poulin;P C Amrein;G P Canellos;A J Gottlieb,1986-10-01,4.0,0.186,Published before 2000
ZIACP010207,3569168,"Comparative cytogenetic analysis of bone marrow damage induced in male B6C3F1 mice by multiple exposures to gaseous 1,3-butadiene.",R R Tice;R Boucher;C A Luke;M D Shelby,1987-01-01,151.0,8.56,Published before 2000
ZIACP010207,3803324,Methyl isocyanate: an evaluation of in vivo cytogenetic activity.,R R Tice;C A Luke;M D Shelby,1987-01-01,75.0,4.833,Published before 2000
U10CA031946,3955555,Cisplatin in patients with gastric cancer: a Cancer and Leukemia Group B phase II study.,M C Perry;M R Green;R Mick;P Schein,1986-03-01,27.0,0.996,Published before 2000
U01CA271887,4083999,Effect of different diets on the ratio of plasma lipids/vitamin A and E in female Sprague-Dawley rats with MNU-induced mammary carcinomas.,M Aksoy;M R Berger;D Schmähl,1985-01-01,3.0,0.182,Published before 2000
U01CA283935,4083999,Effect of different diets on the ratio of plasma lipids/vitamin A and E in female Sprague-Dawley rats with MNU-induced mammary carcinomas.,M Aksoy;M R Berger;D Schmähl,1985-01-01,3.0,0.182,Published before 2000
U24CA086368,4083999,Effect of different diets on the ratio of plasma lipids/vitamin A and E in female Sprague-Dawley rats with MNU-induced mammary carcinomas.,M Aksoy;M R Berger;D Schmähl,1985-01-01,3.0,0.182,Published before 2000
R21CA114489,4087102,The role of surgery in localized neuroblastoma.,J A O'Neill;P Littman;P Blitzer;K Soper;J Chatten;H Shimada,1985-12-01,44.0,1.752,Published before 2000
U10CA031946,6488443,"Bisantrene (NSC 337766) (CL 216,942) in advanced breast cancer. A cancer and leukemia group B study.",A A Forastiere;M C Perry;A K Hughes;W C Wood,1984-01-01,2.0,0.129,Published before 2000
ZIACP010222,6580064,Double minute chromatin bodies and other chromosome alterations in human myeloid HL-60 leukemia cells susceptible or resistant to induction of differentiation by phorbol-12-myristate-13-acetate.,W W Au;M F Callaham;M L Workman;E Huberman,1983-12-01,19.0,0.493,Published before 2000
ZIACP010206,6694663,"In vivo SCE analysis using bromodeoxyuridine, iododeoxyuridine, and chlorodeoxyuridine.",R J DuFrain;A F McFee;S Linkous;C J Jennings;K W Lowe,1984-02-01,13.0,0.4,Published before 2000
ZIACP010206,6823230,Improved sister-chromatid differentiation using paraffin-coated bromodeoxyuridine tablets in mice.,A F McFee;K W Lowe;J R San Sebastian,1983-01-01,91.0,4.921,Published before 2000
U10CA031946,7139643,Phase II trial of bisantrene in advanced colorectal cancer: a cancer and leukemia group B study.,M C Perry;A A Forastiere;F Richards;R B Weiss;D Anbar,1982-11-01,1.0,0.054,Published before 2000
P50CA092629,7474936,Transforming growth factor-beta 1: comparative immunohistochemical localization in human primary and metastatic prostate cancer.,J A Eastham;L D Truong;E Rogers;M Kattan;K C Flanders;P T Scardino;T C Thompson,1995-11-01,90.0,2.025,Published before 2000
P50CA062924,7479076,Isolation of YAC insert sequences by representational difference analysis.,M Schutte;L T da Costa;C A Moskaluk;E Rozenblum;X Guan;P J de Jong;M Bittner;P S Meltzer;J M Trent;S E Kern,1995-10-25,7.0,0.151,Published before 2000
P50CA092629,7495118,Is prostate-specific antigen density more useful than prostate-specific antigen levels in the diagnosis of prostate cancer?,M Ohori;J K Dunn;P T Scardino,1995-11-01,35.0,1.058,Published before 2000
U01CA062491,7497463,Cytokine induction by 41.8 degrees C whole body hyperthermia.,H I Robins;M Kutz;G J Wiedemann;D M Katschinski;D Paul;E Grosen;C L Tiggelaar;D Spriggs;W Gillis;F d'Oleire,1995-11-06,75.0,2.072,Published before 2000
P50CA062924,7513984,CD44 expression in colorectal adenomas is an early event occurring prior to K-ras and p53 gene mutation.,H Kim;X L Yang;C Rosada;S R Hamilton;J T August,1994-05-01,75.0,1.593,Published before 2000
P50CA092629,7514688,Prostate specific antigen and gleason grade: an immunohistochemical study of prostate cancer.,M Aihara;R M Lebovitz;T M Wheeler;B M Kinner;M Ohori;P T Scardino,1994-06-01,123.0,3.371,Published before 2000
P50CA092629,7516262,The New American Joint Committee on Cancer and International Union Against Cancer TNM classification of prostate cancer. Clinicopathologic correlations.,M Ohori;T M Wheeler;P T Scardino,1994-07-01,152.0,4.495,Published before 2000
P50CA092629,7520020,Frequency of apoptotic bodies positively correlates with Gleason grade in prostate cancer.,M Aihara;L D Truong;J K Dunn;T M Wheeler;P T Scardino;T C Thompson,1994-08-01,98.0,2.336,Published before 2000
P50CA092629,7523718,The pathological features and prognosis of prostate cancer detectable with current diagnostic tests.,M Ohori;T M Wheeler;J K Dunn;T A Stamey;P T Scardino,1994-11-01,198.0,7.096,Published before 2000
P50CA092629,7523732,Can radical prostatectomy alter the progression of poorly differentiated prostate cancer?,M Ohori;J R Goad;T M Wheeler;J A Eastham;T C Thompson;P T Scardino,1994-11-01,178.0,6.131,Published before 2000
P50CA092629,7526353,Fresh tissue harvest for research from prostatectomy specimens.,T M Wheeler;R M Lebovitz,1994-11-01,127.0,3.356,Published before 2000
P50CA092629,7529128,The frequency of apoptosis correlates with the prognosis of Gleason Grade 3 adenocarcinoma of the prostate.,M Aihara;P T Scardino;L D Truong;T M Wheeler;J R Goad;G Yang;T C Thompson,1995-01-15,93.0,2.436,Published before 2000
P50CA092629,7534850,Transgenic mice carrying a PSArasT24 hybrid gene develop salivary gland and gastrointestinal tract neoplasms.,D L Schaffner;R Barrios;M R Shaker;S Rajagopalan;S L Huang;D J Tindall;C Y Young;P A Overbeek;R M Lebovitz;M W Lieberman,1995-03-01,26.0,0.629,Published before 2000
P50CA092629,7534899,Loss of p53 function leads to metastasis in ras+myc-initiated mouse prostate cancer.,T C Thompson;S H Park;T L Timme;C Ren;J A Eastham;L A Donehower;A Bradley;D Kadmon;G Yang,1995-03-02,111.0,2.36,Published before 2000
P50CA092629,7538042,Screening for prostate cancer: an analysis of the early experience.,K M Slawin;M Ohori;O Dillioglugil;P T Scardino,1995-01-01,49.0,1.44,Published before 2000
P50CA092629,7538321,Progression to androgen insensitivity in a novel in vitro mouse model for prostate cancer.,P A Baley;K Yoshida;W Qian;I Sehgal;T C Thompson,1995-05-01,104.0,1.898,Published before 2000
P50CA092629,7541677,Mesenchymal-epithelial interactions and transforming growth factor-beta 1 expression during normal and abnormal prostatic growth.,T L Timme;L D Truong;K M Slawin;D Kadmon;S H Park;T C Thompson,1995-03-01,28.0,0.708,Published before 2000
P50CA062924,7553647,Allelotype of pancreatic adenocarcinoma using xenograft enrichment.,S A Hahn;A B Seymour;A T Hoque;M Schutte;L T da Costa;M S Redston;C Caldas;C L Weinstein;A Fischer;C J Yeo,1995-10-15,310.0,6.281,Published before 2000
P50CA058223,7559633,A kinase-deficient splice variant of the human JAK3 is expressed in hematopoietic and epithelial cancer cells.,K S Lai;Y Jin;D K Graham;B A Witthuhn;J N Ihle;E T Liu,1995-10-20,63.0,1.163,Published before 2000
P50CA092629,7563355,Prognostic significance of positive surgical margins in radical prostatectomy specimens.,M Ohori;T M Wheeler;M W Kattan;Y Goto;P T Scardino,1995-11-01,423.0,13.998,Published before 2000
P50CA062924,7584997,Founding mutations and Alu-mediated recombination in hereditary colon cancer.,M Nyström-Lahti;P Kristo;N C Nicolaides;S Y Chang;L A Aaltonen;A L Moisio;H J Järvinen;J P Mecklin;K W Kinzler;B Vogelstein,1995-11-01,257.0,5.337,Published before 2000
P50CA092629,7585563,In vivo gene therapy with p53 or p21 adenovirus for prostate cancer.,J A Eastham;S J Hall;I Sehgal;J Wang;T L Timme;G Yang;L Connell-Crowley;S J Elledge;W W Zhang;J W Harper,1995-11-15,204.0,4.268,Published before 2000
P50CA092629,7587393,Mapping segmental imbalances using comparative genomic hybridization and eigenanalysis.,B Haddad;R Antonacci;P Rizzu;E A Lindsay;M R Hughes;L C Smith;R D Knapp;A Baldini,1995-01-01,1.0,0.041,Published before 2000
P50CA062924,7597059,Identification by representational difference analysis of a homozygous deletion in pancreatic carcinoma that lies within the BRCA2 region.,M Schutte;L T da Costa;S A Hahn;C Moskaluk;A T Hoque;E Rozenblum;C L Weinstein;M Bittner;P S Meltzer;J M Trent,1995-06-20,152.0,2.981,Published before 2000
P50CA092629,7609108,Pelvic lymph node histiocytosis mimicking metastatic prostatic adenocarcinoma: association with hip prostheses.,B L Bjornsson;L D Truong;J Cartwright;J Abrams;M L Rutledge;T M Wheeler,1995-08-01,11.0,0.48,Published before 2000
P50CA058223,7612897,Protein kinases in human breast cancer.,W G Cance;E T Liu,1995-07-01,55.0,1.11,Published before 2000
P50CA058223,7612898,Heterodimerization and functional interaction between EGF receptor family members: a new signaling paradigm with implications for breast cancer research.,H S Earp;T L Dawson;X Li;H Yu,1995-07-01,358.0,7.689,Published before 2000
P50CA058223,7612902,With a different voice: integrating the psychosocial perspective into routine oncology care.,M Sorensen;E T Liu,1995-07-01,7.0,0.317,Published before 2000
P50CA058223,7612903,Accrual to the Breast Cancer Prevention Trial by participating Community Clinical Oncology Programs: a panel data analysis.,C N Klabunde;A D Kaluzny,1995-07-01,3.0,0.112,Published before 2000
P50CA058223,7612904,The Carolina Breast Cancer Study: integrating population-based epidemiology and molecular biology.,B Newman;P G Moorman;R Millikan;B F Qaqish;J Geradts;T E Aldrich;E T Liu,1995-07-01,200.0,4.388,Published before 2000
P50CA058223,7612905,Rapid reporting of cancer incidence in a population-based study of breast cancer: one constructive use of a central cancer registry.,T E Aldrich;D Vann;P G Moorman;B Newman,1995-07-01,52.0,1.43,Published before 2000
P50CA058223,7612907,"The North Carolina Breast Cancer Screening Program: foundations and design of a model for reaching older, minority, rural women.",J A Earp;M Altpeter;L Mayne;C I Viadro;M S O'Malley,1995-07-01,53.0,2.27,Published before 2000
P50CA058223,7612910,Ha-ras rare alleles in breast cancer susceptibility.,K Conway;S Edmiston;D B Fried;B S Hulka;P A Garrett;E T Liu,1995-07-01,9.0,0.177,Published before 2000
P50CA058223,7629134,Both p16 and p21 families of cyclin-dependent kinase (CDK) inhibitors block the phosphorylation of cyclin-dependent kinases by the CDK-activating kinase.,O Aprelikova;Y Xiong;E T Liu,1995-08-04,194.0,3.414,Published before 2000
P50CA062924,7632227,Mismatch repair deficiency in phenotypically normal human cells.,R Parsons;G M Li;M Longley;P Modrich;B Liu;T Berk;S R Hamilton;K W Kinzler;B Vogelstein,1995-05-05,303.0,5.909,Published before 2000
P50CA092629,7641214,"High expression of adhesion molecules/activation markers with little interleukin-2, interferon gamma, and tumor necrosis factor beta gene activation in fresh tumor-infiltrating lymphocytes from lung adenocarcinoma.",E Roussel;M C Gingras;E A Grimm;J A Roth,1995-07-01,24.0,0.505,Published before 2000
U01CA062502,7642472,O6-alkylguanine-DNA alkyltransferase. A target for the modulation of drug resistance.,S L Gerson;J K Willson,1995-04-01,55.0,1.434,Published before 2000
U01CA062505,7644931,Paclitaxel 3-hour infusion given alone and combined with carboplatin: preliminary results of dose-escalation trials.,F M Muggia;D Vafai;R Natale;V Israel;S Zaretsky;A McRae;M Rogers;S Jeffers,1995-08-01,32.0,1.099,Published before 2000
P50CA058223,7666086,p53 mutations in benign breast tissue.,R Millikan;B Hulka;A Thor;Y Zhang;S Edgerton;X Zhang;H Pei;M He;L Wold;L J Melton,1995-09-01,70.0,1.71,Published before 2000
U10CA031946,7683352,Effects of treatment with 5-azacytidine on the in vivo and in vitro hematopoiesis in patients with myelodysplastic syndromes.,L R Silverman;J F Holland;R S Weinberg;B P Alter;R B Davis;R R Ellison;E P Demakos;C J Cornell;R W Carey;C Schiffer,1993-05-01,175.0,3.774,Published before 2000
U10CA031946,7718875,A five-drug remission induction regimen with intensive consolidation for adults with acute lymphoblastic leukemia: cancer and leukemia group B study 8811.,R A Larson;R K Dodge;C P Burns;E J Lee;R M Stone;P Schulman;D Duggan;F R Davey;R E Sobol;S R Frankel,1995-04-15,460.0,11.246,Published before 2000
P50CA092629,7724580,Prostate cancer in a transgenic mouse.,N M Greenberg;F DeMayo;M J Finegold;D Medina;W D Tilley;J O Aspinall;G R Cunha;A A Donjacour;R J Matusik;J M Rosen,1995-04-11,1065.0,22.166,Published before 2000
P50CA062924,7726912,Frequent somatic mutations and homozygous deletions of the p16 (MTS1) gene in pancreatic adenocarcinoma.,C Caldas;S A Hahn;L T da Costa;M S Redston;M Schutte;A B Seymour;C L Weinstein;R H Hruban;C J Yeo;S E Kern,1994-09-01,1099.0,23.833,Published before 2000
P50CA062924,7757992,Consistent chromosome abnormalities in adenocarcinoma of the pancreas.,C A Griffin;R H Hruban;L A Morsberger;T Ellingham;P P Long;E M Jaffee;K M Hauda;S K Bohlander;C J Yeo,1995-06-01,107.0,2.452,Published before 2000
U10CA031946,7760868,Granulocyte-macrophage colony-stimulating factor after initial chemotherapy for elderly patients with primary acute myelogenous leukemia. Cancer and Leukemia Group B.,R M Stone;D T Berg;S L George;R K Dodge;P A Paciucci;P Schulman;E J Lee;J O Moore;B L Powell;C A Schiffer,1995-06-22,376.0,9.73,Published before 2000
P50CA092629,7802135,Verumontanum mucosal gland hyperplasia.,R J Gagucas;R W Brown;T M Wheeler,1995-01-01,26.0,1.035,Published before 2000
P50CA092629,7818898,Rapid allelotype analysis of p53 knockout mice.,T L Timme;T C Thompson,1994-09-01,43.0,0.698,Published before 2000
P50CA092629,7823593,Apoptotic index as a biomarker in prostatic intraepithelial neoplasia (PIN) and prostate cancer.,T M Wheeler;E Rogers;M Aihara;P T Scardino;T C Thompson,1994-01-01,12.0,0.284,Published before 2000
P50CA092629,7829250,DNA ploidy and clonal selection in ras + myc-induced mouse prostate cancer.,D R Greene;S R Taylor;M Aihara;K Yoshida;S Egawa;S H Park;T L Timme;G Yang;P T Scardino;T C Thompson,1995-01-27,4.0,0.113,Published before 2000
P50CA092629,7835094,Eigenanalysis of DAPI-stained chromosomes: tools and strategies toward computer-assisted analysis of FISH experiments.,R D Knapp;L C Smith;A Baldini,1995-01-01,3.0,0.05,Published before 2000
U01CA062491,7882302,"Cytotoxic interactions of tumor necrosis factor, melphalan and 41.8 degrees C hyperthermia.",H I Robins;F d'Oleire;M Kutz;A Bird;C L Schmitt-Tiggelaar;J D Cohen;D R Spriggs,1995-02-10,17.0,0.57,Published before 2000
U10CA031946,7884434,Population pharmacodynamic study of amonafide: a Cancer and Leukemia Group B study.,M J Ratain;G Rosner;S L Allen;M Costanza;D A Van Echo;I C Henderson;R L Schilsky,1995-03-01,39.0,1.205,Published before 2000
R33CA099139,7896090,An implanted recombination hot spot stimulates recombination and enhances sister chromatid cohesion of heterologous YACs during yeast meiosis.,D D Sears;P Hieter;G Simchen,1994-12-01,18.0,0.341,Published before 2000
R21CA099139,7896090,An implanted recombination hot spot stimulates recombination and enhances sister chromatid cohesion of heterologous YACs during yeast meiosis.,D D Sears;P Hieter;G Simchen,1994-12-01,18.0,0.341,Published before 2000
U10CA031946,7908410,c-erbB-2 expression and response to adjuvant therapy in women with node-positive early breast cancer.,H B Muss;A D Thor;D A Berry;T Kute;E T Liu;F Koerner;C T Cirrincione;D R Budman;W C Wood;M Barcos,1994-05-05,903.0,22.474,Published before 2000
P50CA062924,7954428,Inactivation of both APC alleles in human and mouse tumors.,D B Levy;K J Smith;Y Beazer-Barclay;S R Hamilton;B Vogelstein;K W Kinzler,1994-11-15,232.0,4.675,Published before 2000
P50CA092629,7987828,Deletion of p16 and p15 genes in brain tumors.,J Jen;J W Harper;S H Bigner;D D Bigner;N Papadopoulos;S Markowitz;J K Willson;K W Kinzler;B Vogelstein,1994-12-15,483.0,9.842,Published before 2000
P50CA062924,8030745,Clinical and pathological characteristics of sporadic colorectal carcinomas with DNA replication errors in microsatellite sequences.,H Kim;J Jen;B Vogelstein;S R Hamilton,1994-07-01,751.0,15.672,Published before 2000
P50CA092629,8084836,DNA ploidy measurements in prostate cancer: differences between image analysis and flow cytometry and clinical implications.,A Pindur;S Chakraborty;D G Welch;T M Wheeler,1994-10-01,28.0,1.133,Published before 2000
P50CA058223,8105266,Expression of focal adhesion kinase gene and invasive cancer.,T M Weiner;E T Liu;R J Craven;W G Cance,1993-10-23,311.0,6.081,Published before 2000
U10CA031946,8154963,K-ras-2 topographic genotyping of pancreatic adenocarcinoma.,S D Finkelstein;R Przygodzki;V E Pricolo;R Sayegh;A Bakker;P A Swalsky;G Keller,1994-04-01,32.0,0.892,Published before 2000
P50CA092629,8158775,Some small prostate cancers are nondiploid by nuclear image analysis: correlation of deoxyribonucleic acid ploidy status and pathological features.,D R Greene;E Rogers;E C Wessels;T M Wheeler;S R Taylor;R A Santucci;T C Thompson;P T Scardino,1994-05-01,44.0,1.484,Published before 2000
P50CA092629,8170479,The rat probasin gene promoter directs hormonally and developmentally regulated expression of a heterologous gene specifically to the prostate in transgenic mice.,N M Greenberg;F J DeMayo;P C Sheppard;R Barrios;R Lebovitz;M Finegold;R Angelopoulou;J G Dodd;M L Duckworth;J M Rosen,1994-02-01,236.0,5.063,Published before 2000
U10CA031946,8187005,A feasibility study of extended chemotherapy for locally advanced non-small cell lung cancer: a phase II trial of cancer and leukemia group B.,G Clamon;J Herndon;W Eaton;J Rosenman;L H Maurer;M R Cooper;M R Green,1994-01-01,22.0,0.59,Published before 2000
P50CA062924,8187092,p53 mutations in pancreatic carcinoma and evidence of common involvement of homocopolymer tracts in DNA microdeletions.,M S Redston;C Caldas;A B Seymour;R H Hruban;L da Costa;C J Yeo;S E Kern,1994-06-01,402.0,8.524,Published before 2000
U10CA031946,8201372,"Cisplatin, vinblastine, and hydrazine sulfate in advanced, non-small-cell lung cancer: a randomized placebo-controlled, double-blind phase III study of the Cancer and Leukemia Group B.",M P Kosty;S B Fleishman;J E Herndon;K Coughlin;A B Kornblith;A Scalzo;J C Morris;J Mortimer;M R Green,1994-06-01,77.0,2.538,Published before 2000
P50CA058223,8208544,"Two novel human serine/threonine kinases with homologies to the cell cycle regulating Xenopus MO15, and NIMA kinases: cloning and characterization of their expression pattern.",E N Levedakou;M He;E W Baptist;R J Craven;W G Cance;P L Welcsh;A Simmons;S L Naylor;R J Leach;T B Lewis,1994-07-01,62.0,0.981,Published before 2000
U10CA031946,8229122,Effect of megestrol acetate on quality of life in a dose-response trial in women with advanced breast cancer. The Cancer and Leukemia Group B.,A B Kornblith;D R Hollis;E Zuckerman;A P Lyss;G P Canellos;M R Cooper;J E Herndon;C A Phillips;J Abrams;J Aisner,1993-11-01,66.0,2.169,Published before 2000
P50CA092629,8238732,The mechanisms and prognostic significance of seminal vesicle involvement by prostate cancer.,M Ohori;P T Scardino;S L Lapin;C Seale-Hawkins;J Link;T M Wheeler,1993-12-01,159.0,5.531,Published before 2000
U10CA031946,8246285,Cigarette smoking and risk of acute leukemia: associations with morphology and cytogenetic abnormalities in bone marrow.,D P Sandler;D L Shore;J R Anderson;F R Davey;D Arthur;R J Mayer;R T Silver;R B Weiss;J O Moore;C A Schiffer,1993-12-15,88.0,2.52,Published before 2000
