accession,name,description,Parent study,Study Disease/Focus,Study Design,Study Markerset,Study Molecular Data Type,Study Content,Ancestry (computed),NIH Institute,Study Consent,Release Date,Embargo Release Date,Related Terms,Collections
"phs001965.v1.p1","MP2PRT: Identification of Genetic Changes Associated with Relapse and/or    Adaptive Resistance in Patients Registered as Favorable Histology    Wilms Tumor on AREN03B2","The Molecular Profiling to Predict Response to Treatment (MP2PRT) program is part of the NCI's Cancer Moonshot Initiative. The aim of this program is the retrospective characterization and analysis of  biospecimens collected from completed NCI-sponsored trials of the National Clinical Trials Network and the NCI Community Oncology Research Program.","Not Applicable","Wilms Tumor","Case Set","Not Provided","Not Provided","2 phenotype datasets, 4 variables,  SRA, 84 subjects, 84 samples","","NCI","GRU --- General Research Use","2022-04-22","2022-04-22","Embryonal adenosarcoma; Embryonal nephroma; Kidney Nephroblastoma; NEPHROBLASTOMA; Nephroblastoma (Wilms tumor); Nephroblastomas","NCI's Collection of Datasets for General Research Use (phs003014.v1.p1); NCI's Collection of Datasets for Pediatric and Adolescent and Young    Adults Research (phs003964.v2.p2)"
"phs001939.v3.p1","Count Me In (CMI): The Metastatic Prostate Cancer (MPC) Project    (CMI-MPCproject)","Count Me In - The Metastatic Prostate Cancer Project: A Patient-Driven Research Initiative to Accelerate Metastatic Prostate Cancer Research The Metastatic Prostate Cancer Project (MPCproject; http://mpcproject.org/) is a research study  that empowers men with metastatic and advanced prostate cancer to partner directly with researchers by sharing their samples and clinical information","Not Applicable","Prostatic Neoplasms","Prospective Longitudinal Cohort","Not Provided","Not Provided","4 phenotype datasets, 11 variables, 63 subjects, 126 samples","","NCI","GRU --- General Research Use","2022-04-07","2020-02-12","Neoplasm Metastasis; Epithelial Carcinoma; Epithelial Neoplasm, Malignant; Epithelial Neoplasms, Malignant; Epithelial Tumor, Malignant; Epithelial Tumors, Malignant","NCI's Collection of Datasets for General Research Use (phs003014.v1.p1)"
"phs001163.v1.p1","CRU-Ukrainian National Research Center for Radiation Medicine Trio Study","Data on transgenerational effects following nuclear accidents are important for understanding fully the consequences of parental exposure to ionizing radiation. Few studies to date have had adequate statistical power to  detect effects of the magnitude expected based on animal data, and most have not been of low-dose, protracted exposures associated with nuclear","Not Applicable","Germ-Line Mutation","Family/Twin/Trios","Not Provided","Not Provided","5 phenotype datasets, 27 variables,  SRA, 340 subjects, 340 samples","","NCI","GRU --- General Research Use","2021-06-17","2021-06-17","Not Provided","dbGaP Collection: Compilation of Individual-Level Genomic Data for    General Research Use (phs000688.v1.p1); NCI's Collection of Datasets for General Research Use (phs003014.v1.p1)"
"phs001374.v2.p1","VA APOLLO Project - Research for Precision Oncology (RePOP)","The Research for Precision Oncology Program (RePOP) is a research activity that establishes a cohort of Veterans diagnosed with cancer and who have had genomic analyses performed on their tumor  tissue as part of standard of care. All data relevant to a patient's cancer and cancer care will be collected under RePOP, including patient","Not Applicable","Neoplasms","Prospective Longitudinal Cohort","Not Provided","Not Provided","2 phenotype datasets, 4 variables,  SRA, 170 subjects, 170 samples","","NCI","GRU --- General Research Use","2021-03-15","2018-08-22","Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies","NCI's Collection of Datasets for General Research Use (phs003014.v1.p1)"
"phs001648.v2.p1","Genomic Characterization of Metastatic Castration Resistant Prostate    Cancer","Biopsies of castration resistant prostate cancer metastases were subjected to whole genome sequencing (WGS), along with RNA-sequencing (RNA-Seq). The overarching goal of the study is to illuminate molecular mechanisms of  acquired resistance to therapeutic agents, and particularly androgen signaling inhibitors, in the treatment of metastatic castration resistant","Not Applicable","Prostatic Neoplasms, Castration-Resistant","Prospective Longitudinal Cohort","Not Provided","Bisulfite-Seq","4 phenotype datasets, 13 variables, 100 samples sequenced,  SRA, 101 subjects, 311 samples","","NCI","GRU --- General Research Use","2020-07-28","2019-05-02","Neoplasm Metastasis; Metastase; Metastases, Neoplasm; Metastasis; Metastasis, Neoplasm; Metastasize","dbGaP Collection: Compilation of Individual-Level Genomic Data for    General Research Use (phs000688.v1.p1); NCI's Collection of Datasets for General Research Use (phs003014.v1.p1)"
"phs001931.v1.p1","Count Me In: Angiosarcoma Project (CMI-ASCproject)","Count Me In - The Angiosarcoma Project: A Patient-Partnered Research Initiative to Accelerate Research in a Rare Sarcoma The Angiosarcoma Project (ASCproject) is a research study that directly engages angiosarcoma  patients online and empowers them to accelerate cancer research by sharing medical information and clinical samples. Angiosarcoma is an exceedingly","Not Applicable","Sarcoma","Prospective Longitudinal Cohort","Not Provided","Not Provided","4 phenotype datasets, 10 variables,  SRA, 36 subjects, 84 samples","","NCI","GRU --- General Research Use","2020-02-14","2020-02-14","Angiosarcoma; Angiosarcomas; Hemangioendothelial sarcoma; Hemangiosarcomas; Malignant hemangioendothelioma; angiosarcoma (disease)","NCI's Collection of Datasets for General Research Use (phs003014.v1.p1)"
"phs000178.v11.p8","The Cancer Genome Atlas (TCGA)","The Cancer Genome Atlas (TCGA) is a comprehensive and coordinated effort to accelerate our understanding of the molecular basis of cancer through the application of genome analysis technologies, including large-scale  genome sequencing. TCGA is a joint effort of the National Cancer Institute (NCI) and the National Human Genome Research Institute (NHGRI), which","Not Applicable","Neoplasms","Tumor vs. Matched-Normal","WGS_markerset_grc37","Not Provided","3 phenotype datasets, 8 variables, 11429 subjects, 11467 samples, 1 substudies","","NCI","GRU --- General Research Use","2019-12-18","2018-08-17","Adenocarcinoma; Carcinoma, Hepatocellular; Carcinoma, Transitional Cell; Cystadenocarcinoma, Serous; Esophageal Neoplasms; Invasive Ductal Carcinoma, Breast","NCI's Collection of Datasets for General Research Use (phs003014.v1.p1); NCI's Collection of Datasets for Pediatric and Adolescent and Young    Adults Research (phs003964.v2.p2)"
"phs000854.v3.p8","Genome-Wide Analysis of Noncoding Regulatory Mutations in Cancer","Large-scale sequencing of human tumor samples has transformed the identification of somatic genetic alterations that drive the cancer phenotype. However, most efforts have focused on the protein-coding exome, which comprises  less than 2% of the human genome. Here, we analyzed whole genome sequences from The Cancer Genome Atlas with a focus on recurrently mutated","National Institutes of Health The Cancer Genome Atlas (TCGA) (phs000178.v11.p8)","Neoplasms","Tumor vs. Matched-Normal","WGS_markerset_grc37","SNV Aggregate (.MAF)","2 phenotype datasets, 4 variables, 1 molecular datasets, 356 subjects, 356 samples","","NCI","GRU --- General Research Use","2019-12-18","2018-08-17","Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies",""
"phs001444.v2.p1","Genomic Variation in Diffuse Large B Cell Lymphomas","Integrative analysis of genetic lesions in 574 diffuse large B cell lymphomas (DLBCL). The study investigates genomic structural variation, genetic alteration and its effect on the development and biology of  lymphomas by using high throughput sequencing, gene expression, and methylation status. Clinically diagnosed as DLBCL Note: Controlled datasets","Not Applicable","Lymphoma, Large B-Cell, Diffuse","Case Set","Not Provided","Not Provided","2 phenotype datasets, 7 variables, 489 subjects, 1916 samples","","NCI","GRU --- General Research Use","2019-11-08","","Centroblastic diffuse large B-cell malignant lymphoma; Centroblastic diffuse malignant lymphoma; Centroblastic malignant lymphoma; DLBCL; DLBCL - diffuse large B cell lymphoma; Diffuse Histiocytic Lymphoma","NCI's Collection of Datasets for General Research Use (phs003014.v1.p1)"
"phs001799.v1.p1","Genomic landscape of Neutrophilic Leukemias of Ambiguous Diagnosis","Chronic neutrophilic leukemia (CNL), atypical chronic myeloid leukemia (aCML), and unclassified myelodysplastic syndrome/myeloproliferative neoplasms (MDS/MPN-U) are a group of rare, heterogeneous myeloid disorders. There is strong morphologic resemblance amongst these  distinct diagnostic entities as well as lack of specific molecular markers and limited understanding of disease pathogenesis, which has made","Not Applicable","Leukemia","Prospective Longitudinal Cohort","Not Provided","Not Provided","3 phenotype datasets, 9 variables, 176 subjects, 238 samples","","NCI","DS-LEU --- Disease-Specific (Leukemia)","2019-10-17","2019-10-17","Blood (Leukemia); Blood cancer; Leucocythaemia; Leucocythaemias; Leucocythemia; Leucocythemias",""
"phs001597.v1.p1","Genomic Analysis of Bevacizumab-induced Hypertension","Bevacizumab use in the treatment of cancer can lead to the development of hypertension in some patients, and high-grade toxicity can limit therapy or lead to cardiovascular complications. The factors  that contribute to interindividual variability in blood pressure rise during bevacizumab treatment are not well understood. In the present study","Not Applicable","Hypertension","Case-Control","WES_markerset_grc37","SNP Genotypes (NGS)","4 phenotype datasets, 22 variables, 2 analyses, 1 molecular datasets,  SRA, 62 subjects, 62 samples","","NCI","DS-CA-COL --- Disease-Specific (Cancer, COL)","2019-10-08","2019-10-08","Arterial hypertension; BP - High blood pressure; BP+ - Hypertension; Blood Pressure, High; Blood Pressures, High; HBP - High blood pressure",""
"phs001687.v1.p1","West Africa Breast Cancer Study (WABCS)","Differences in breast cancer incidence and mortality rates between North American Caucasian and African American women are well-described and transcend socioeconomic issues. Black women are diagnosed with breast cancer at  a younger median age; have more clinically aggressive disease and stage-for-stage; and have higher mortality rates than age-matched Caucasian women.","Not Applicable","Breast Neoplasms","Case-Control","Not Provided","Not Provided","4 phenotype datasets, 63 variables,  SRA, 294 subjects, 722 samples","","NCI","GRU-PUB --- General Research Use (PUB)","2019-08-29","2019-08-29","Breast Cancer; Breast Malignant Neoplasm; Breast Malignant Neoplasms; Breast Malignant Tumor; Breast Malignant Tumors; Cancer breast",""
"phs001611.v1.p1","Pancreas Cancer Organoid Profiling","We generated a collection of patient-derived pancreatic normal and cancer organoids. We performed whole genome sequencing, targeted exome sequencing, and RNA sequencing on organoids as well as matched tumor and  normal tissue if available. This dataset is a valuable resource for pancreas cancer researchers, and those looking to compare primary tissue","Not Applicable","Neoplasms","Prospective Longitudinal Cohort","Not Provided","Not Provided","4 phenotype datasets, 16 variables, 1 documents,  SRA, 71 subjects, 188 samples","","NCI","GRU --- General Research Use","2019-06-21","2019-06-21","Carcinoma, Pancreatic Ductal; Carcinoma, Ductal, Pancreatic; Carcinoma, Pancreas Duct-Cell; Carcinomas, Pancreas Duct-Cell; Carcinomas, Pancreatic Ductal; Duct Cell Carcinoma of the Pancreas","dbGaP Collection: Compilation of Individual-Level Genomic Data for    General Research Use (phs000688.v1.p1); NCI's Collection of Datasets for General Research Use (phs003014.v1.p1)"
"phs001628.v1.p1","Clinical Crenolanib Resistance in AML","FLT3 mutations are commonly detected in Acute Myeloid Leukemia (AML) patients and are associated with poor prognosis. Crenolanib, a potent type I pan-FLT3 (GeneID:2322) inhibitor, is effective against both internal  tandem duplications (ITD) and resistance-conferring tyrosine kinase domain (TKD) mutations. While crenolanib monotherapy has demonstrated significant","Not Applicable","Leukemia, Myeloid, Acute","Prospective Longitudinal Cohort","Not Provided","Not Provided","2 phenotype datasets, 6 variables,  SRA, 56 subjects, 119 samples","","NCI","DS-LEU --- Disease-Specific (Leukemia)","2019-03-29","2019-03-29","AML; AML - Acute Myeloid Leukemia; AML - Acute myeloblastic leukemia; AML - acute myeloid leukaemia; AML adult; ANLL",""
"phs000748.v7.p4","Multiple Myeloma CoMMpass Study","The Multiple Myeloma Research Foundation (MMRF) CoMMpass (Relating Clinical Outcomes in MM to Personal Assessment of Genetic Profile) trial (NCT01454297) is a longitudinal observation study of 1000 newly diagnosed myeloma  patients receiving various standard approved treatments that aim at collecting tissue samples, genetic information, Quality of Life (QoL) and various","Not Applicable","Multiple Myeloma","Prospective Longitudinal Cohort","Not Provided","RNA-Seq, WGS, WXS","4 phenotype datasets, 29 variables, 5118 samples sequenced,  SRA, 1014 subjects, 5118 samples","","NCI","GRU-MDS --- General Research Use (MDS), DS-MCRD-MDS --- Disease-Specific (Myeloma and other cancer-related disorders, MDS)","2019-03-20","2014-10-07","Neoplasms, Plasma Cell; Al amyloidosis; Cell Myeloma, Plasma; Cell Myelomas, Plasma; Disease, Kahler; Familial Myeloma","NCI's Collection of Datasets for General Research Use (phs003014.v1.p1)"
"phs001175.v2.p2","CTSP: Clinical Trial Sequencing Project","For the Clinical Trials Sequencing Project (CTSP), National Cancer Institute (NCI) will utilize whole genome sequencing and/or whole exome sequencing in conjunction with transcriptome sequencing to try to identify recurrent  genetic alterations (mutations, deletions, amplifications, rearrangements) and/or gene expression signatures that would be important","Not Applicable","Breast","Collection","Not Provided","Not Provided","2 phenotype datasets, 6 variables,  SRA, 366 subjects, 366 samples, 1 substudies","","NCI","GRU --- General Research Use","2019-01-29","2018-04-11","ADENOCARCINOMA OF KIDNEY; Adenocarcinoma Of Kidneys; Adenocarcinoma of the Kidney; Adenocarcinoma, Renal; Adenocarcinoma, Renal Cell; Adenocarcinomas, Renal Cell","NCI's Collection of Datasets for General Research Use (phs003014.v1.p1)"
"phs001184.v2.p2","CTSP Diffuse Large B-Cell Lymphoma (DLBCL) CALGB 50303","For the CTSP-DLBCL sub-project, National Cancer Institute (NCI) will utilize whole genome sequencing and/or whole exome sequencing in conjunction with transcriptome sequencing to try to identify recurrent genetic alterations (mutations,  deletions, amplifications, rearrangements) and/or gene expression signatures that would be important to the hypothesis(es) submitted","CTSP: Clinical Trial Sequencing Project (phs001175.v2.p2)","Lymphoma, Large B-Cell, Diffuse","Case Set","Not Provided","Not Provided","366 samples","","NCI","GRU --- General Research Use","2019-01-29","2018-04-11","Centroblastic diffuse large B-cell malignant lymphoma; Centroblastic diffuse malignant lymphoma; Centroblastic malignant lymphoma; DLBCL; DLBCL - diffuse large B cell lymphoma; Diffuse Histiocytic Lymphoma",""
"phs001179.v1.p1","Foundation Medicine Adult Cancer Clinical Dataset (FM-AD)","The Foundation Medicine adult cancer clinical dataset consists of 18,004 unique solid tumor samples that underwent genomic profiling on a single uniform platform as part of standard clinical care. The  dataset is derived from the FoundationOne&#x000ae; genomic profiling assay version 2 that interrogates exonic regions of 287 cancer-related genes","Not Applicable","Neoplasms","Case Set","Not Provided","Not Provided","2 phenotype datasets, 4 variables,  SRA, 18004 subjects, 18004 samples","","NCI","HMB-PUB --- Health/Medical/Biomedical (PUB)","2017-07-31","2017-07-31","Abdominal Neoplasms; Digestive System Neoplasms; Endocrine Gland Neoplasms; Nervous System Neoplasms; Skin Neoplasms; Thoracic Neoplasms",""
"phs000340.v3.p1","Sequencing of ETP T-ALL","CREST The accurate identification of structural variations using whole-genome DNA sequencing data generated by next-generation sequencing technology is extremely difficult. To address this challenge, we have developed CREST, an algorithm  that uses sequencing reads with partial alignments to the reference human genome (so-called soft-clipped reads) to directly map the breakpoints","Not Applicable","Leukemia, T-Cell","Tumor vs. Matched-Normal","Affymetrix_WG_Array","SNP Genotypes (Array), RNA-Seq, WGS, WXS","5 phenotype datasets, 33 variables, 1 molecular datasets, 30 samples sequenced,  SRA, 106 subjects, 196 samples","European (68), African American (11), Hispanic1 (2), Hispanic2 (8), Other Asian or Pacific Islander (2)","NCI","GRU-MDS --- General Research Use (MDS)","2014-04-16","2012-01-12","Leukemia, Lymphocytic, T Cell; Leukemia, Lymphocytic, T-Cell; Leukemia, T Cell; Leukemia, T Lymphocytic; Leukemia, T-Cell Lymphocytic; Leukemia, T-Lymphocytic","NCI's Collection of Datasets for General Research Use (phs003014.v1.p1)"
"phs000341.v2.p1","The Genetic Basis of Hypodiploid ALL","The genetic basis of hypodiploid acute lymphoblastic leukemia (ALL), a subtype of ALL characterized by aneuploidy and poor outcome, is unknown. Genomic profiling of 124 hypodiploid ALL cases, including whole-genome  and exome sequencing of 40 cases, identified two subtypes that differ in the severity of aneuploidy, transcriptional profiles and submicroscopic","Not Applicable","Precursor Cell Lymphoblastic Leukemia-Lymphoma","Tumor vs. Matched-Normal","Affymetrix_WG_Array","SNP Genotypes (Array), RNA-Seq, WGS, WXS","5 phenotype datasets, 33 variables, 2 molecular datasets, 83 samples sequenced,  SRA, 241 subjects, 379 samples","European (78), African American (15), Hispanic1 (4), Hispanic2 (16), Other Asian or Pacific Islander (4), South Asian (1), Other (7)","NCI","GRU --- General Research Use","2013-06-11","2013-06-11","ALL, Childhood; Childhood ALL; Childhood Precursor Lymphoblastic Leukemia; L1 Lymphocytic Leukemia; Leukemia, L1 Lymphocytic; Leukemia, Lymphoblastic, Acute, L1","NCI's Collection of Datasets for General Research Use (phs003014.v1.p1)"
