type	dataset_uuid	dataset_source_repo	dataset_title	description	dataset_source_id	dataset_source_url	PI_name	GPA	dataset_doc	dataset_pmid	funding_source	release_date	limitations_for_reuse	assay_method	study_type	primary_disease	participant_count	sample_count	study_links	related_genes	related_diseases	related_terms	dataset_storage_distribution
dataset	08393324-f41f-53b5-92f1-c90cc897fd7f	CRDC	Childhood Cancer Data Initiative (CCDI): Comprehensive Genomic Sequencing of Pediatric Cancer Cases (CMRI/KUCC)	<p>This study provides paired tumor normal genomic sequencing data from ~ 200 children with cancer, including both solid tumors and leukemias, done by the Children's Mercy Research Institute (CMRI) and University of Kansas Cancer Center (KUCC). These data include whole genome sequencing (generally, ~20x), whole exome sequencing (generally, ~300x), bulk RNA sequencing (generally, ~80 million reads), and single-cell RNA and ATAC sequencing (>50,000 reads/cell). Additional phenotypic, pathologic, and genetic data, gathered clinically for these samples, are also provided. </p>	phs002529	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002529	Roy Jensen, MD;Midhat Farooqi, MD, PhD	Freddie Pruitt	Center for Cancer Genomics (CCG)		National Cancer Institute, Center for Biomedical Informatics and Information Technology 3P30CA168524-09S3;Big Slick;Children's Mercy Research Institute;Black & Veatch;Braden's HOPE For Childhood Cancer;Curing Kid's Cancer;Alex s Lemonade Stand;Noah's Bandage Project;Children's Mercy Cancer Center Auxiliary Research Fund;Department of Defense, U.S. Army Medical Research and Development Command W81XWH-20-1-0358;Masonic Cancer Alliance, Partner's Advisory Board	2/28/2023	DS-CA	RNA-Seq;WXS;WGS;ATAC-seq	Case Set;Clinical Cohort;Clinical Genetic Testing;Exome Sequencing;Full Transcriptome Sequencing;Individual-Level Genomic Data;Mixed;Probands;Repository;RNA Sequencing;Sequencing;Single Cell Analysis;Transcriptome Sequencing;Tumor;Tumor vs. Matched-Normal;Whole Genome Sequencing	Pediatric Cancer	193	372		ALK;BRAF;CRLF2;CTNNB1;ETV6;EWSR1;FLT3;FOXO1;IKZF1;KMT2A;KRAS;MYCN;NOTCH1;NPM1;NRAS;NUP98;P2RY8;RUNX1;SMARCB1;TP53	Leukemia;Neoplasms;Pediatrics;Exome Sequencing;RNA-Seq	Leukemia;Blood (Leukemia);Blood cancer;Leucocythaemia;Leucocythaemias;Leucocythemia	Cancer Research Data Commons (CRDC);NCI Genomic Data Commons (GDC)
dataset	2a7ad1cc-1d62-5dec-9d7e-3510bec4c6ce	CRDC	Wistar PDX Development and Trial Center	<p>Overall the outcomes of patients with metastatic melanoma have improved dramatically over the last decade due to an improved understanding of the molecular drivers of this disease. In particular, multiple targeted therapy regimens have been approved for patients with a BRAFV600E/K mutation, which are present in ~50% of cutaneous melanomas. These treatments achieve clinical responses in ~80% of patients with a BRAFV600E/K mutation, thus providing proof-of-concept of the therapeutic potential for personalized therapeutic strategies. However, most of the patients will progress within 2 years of starting those therapies. Further, currently there are no targeted therapies that have been shown to be effective in patients with a wild-type <a href='https://www.ncbi.nlm.nih.gov/gene/673' target='_blank'>BRAF</a>. Thus, there are unmet clinical needs to develop treatments that prevent or overcome resistance to existing therapies for patients with a BRAFV600E/K mutation, and that are effective in patients without a BRAF mutation. In order to facilitate the development of new therapeutic strategies, over the last 5 years we have led a major effort to develop a broad collection of PDX models to reflect the clinical, histological, and genetic heterogeneity of this disease. Our collection of PDX models represents one of the largest collections for any human malignancy, and our initial testing demonstrates that the collection accurately recapitulates the oncogenic drivers and molecular heterogeneity that is observed in patients. This collection also includes a subset of PDX established from patients with acquired resistance to targeted therapies that have been maintained on those agents in vivo to sustain their resistant phenotype. Together these efforts have generated a robust resource to develop, refine, and prioritize new personalized combinatorial therapies for patients. Thus, we propose to establish a multi-disciplinary and multi-institutional PDTC Program focused on the use and continued expansion of our robust melanoma PDX collection to identify new therapeutic approaches that fill important clinical gaps in this disease.<br></p>	phs002432	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002432	Meenhard Herlyn	Grace Mishkin	Division of Cancer Treatment and Diagnosis (DCTD)			12/21/2022	GRU-COL		Case Set;Exome Sequencing;RNA Sequencing	Nevi and Melanomas	46	185			Skin Neoplasms	Skin Neoplasms;Cancer of skin pigment cells;MM - malignant melanoma;Malignant Melanoma;Malignant Melanomas;Melanoma, Malignant	Cancer Research Data Commons (CRDC)
dataset	bebdfd95-4328-57c2-9858-9cd8230206b9	CRDC	HCI-PDX Trial Center for Breast Cancer Therapy	<p>The HCI-PDX Trial Center for Breast Cancer Therapy study is a collection of patient-tumor samples that are serially established as patient-derived tumor xenografts (human tumor in mouse) and matching organoids. For this study, we describe valuable methods and resources to generate organoids and use them as cost-effective models for precision drug screens. This study leveraged whole-exome sequencing, RNAseq, and SNP-array data to illustrate how the heterogeneity of tumors is preserved in xenograft and organoid models. Sequencing files are provided for whole-exome and RNAseq data. Processed copy number variant calls from the SNP arrays are also available. A full description of the study can be found in the article entitled, 'A human breast cancer-derived xenograft and organoid platform for drug discovery and precision oncology,' written by Guillen et al., 2022 in Nature Cancer (PMID: <a href='https://pubmed.ncbi.nlm.nih.gov/35221336/' target='_blank'>35221336</a>).</p>	phs002479	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002479	Alana Welm, PhD;Bryan Welm, PhD;K-T Varley, PhD;Gabor Marth, DSc	Grace Mishkin	Division of Cancer Treatment and Diagnosis (DCTD)	35221336	U54CA224076;U01CA217617	12/15/2022	GRU	Seq_DNA_SNP_MAF_Ind;RNA-Seq;WXS;Seq_RNA_Expression;Array_CNV	Case Set;Exome Sequencing;Genotype;RNA Sequencing	Breast Cancer	37	227			Xenograft Model Antitumor Assays;Organoids	Breast Cancer;Breast Malignant Neoplasm;Breast Malignant Neoplasms;Breast Malignant Tumor;Breast Malignant Tumors;CA - Breast cancer	Cancer Research Data Commons (CRDC)
dataset	c32e30e2-b395-53d8-9f82-73b1578ead92	CRDC	Childhood Cancer Data Initiative (CCDI): OncoKids - NGS Panel for Pediatric Malignancies	<p>This study aimed to systematically collect clinical, registry and genomic data on pediatric cancer patients, and to contribute to the CCDI Pediatric Data Ecosystem. Clinical, treatment and outcome data on 1,039 pediatric cancer patients whose molecular profile was characterized on OncoKids gene panel at Children's Hospital Los Angeles was abstracted and harmonized for submission to the NCI's Cancer Data Service. The OncoKids panel was designed to detect DNA mutations and amplification in almost 200 oncogenes and tumor suppressor genes, a limited number of pharmacogenomic targets and 1,700 disease-associated gene fusions at the RNA level. The panel encompasses the vast majority of FDA's relevant pediatric molecular target list, as well as additional genes associated with ultra-rare pediatric tumors. The final data elements included DNA/RNA sequence data, OncoKids test results, clinical data on demographics, diagnosis, comorbidity and adverse events and treatment data. <br> </p>	phs002518	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002518	Amie E. Hwang, PhD, MPH	Joseph Flores-Toro	Office of Data Sharing (ODS)			12/7/2022	GRU	AMPLICON	Case Set;Clinical Genetic Testing	Pediatric Cancer	1039	2246			Childhood;Pediatric	Blastoma;CA;CA - Cancer;Cancer;MT;Malignancies	Cancer Research Data Commons (CRDC);NCI Genomic Data Commons (GDC)
dataset	c256bcdf-17fd-511a-a52d-d6bd86de5823	CRDC	Kids First: Genetics of  Kidney and Urinary Tract Malformations	<p></p><p></p><div>Congenital defects of the kidney and urinary tract are a common cause of kidney failure in children and adults and elucidation of the genetics of these disorders will provide new opportunities for diagnosis, risk stratification and prevention of complications.</div><p></p>	phs002162	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002162	Ali Gharavi, MD				X01 HL145698-01	10/21/2022	GRU		Cohort;Parent-Offspring Trios	Kidney Cancer	1667	1673	https://commonfund.nih.gov/kidsfirst/X01Projects		Hydronephrosis;Vesicoureteral Reflux	Hydronephrosis;Vesicoureteral Reflux;Hydronephroses;HEREDITARY RENAL APLASIA;HRA;RENAL AGENESIS	Cancer Research Data Commons (CRDC)
dataset	c3d8de19-8115-5607-9e77-d3b6f30ff830	CRDC	Genomic Characterization CS-MATCH-0007 Arm Z1D	<p>The CS-MATCH-0007 protocol is a collaboration between the Center for Cancer Genomics (CCG) and the Division of Cancer Treatment and Diagnosis (DCTD) to perform whole-exome sequencing and RNA sequencing using pre-and posttreatment tumor biopsy specimens from all patients enrolled on a treatment arm of the <a href='https://clinicaltrials.gov/ct2/show/NCT02465060?term=NCT02465060&#38;rank=1' target='_blank'>NCI-MATCH Clinical Trial (EAY131)</a>. The goal of this study is to identify the molecular basis for response and resistance to targeted therapies that are matched to their corresponding genomic alterations. Arm Z1D is one of the treatment sub-protocols within the <a href='https://clinicaltrials.gov/ct2/show/NCT02465060?term=NCT02465060&#38;rank=1' target='_blank'>NCI-MATCH Clinical Trial (EAY131)</a> where patients with MMR deficiency are treated with nivolumab. This subprotocol is one of the treatment arms in the EAY-131 trial included in the CS-MATCH-0007 protocol and will provide specimens for the program including DNA from tumor tissue and whole blood and RNA from tumor tissue. A fuller genomic landscape of tumors from these patients will enable discovery of potential molecular features correlated to clinical outcomes or lay the foundation for future studies leading to new and more effective treatments.</p>	phs001859	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001859	Lyndsay Harris, MD	Grace Mishkin	Division of Cancer Treatment and Diagnosis (DCTD)	31922567;33048619;31765263;37322121	Division of Cancer Treatment and Diagnosis	10/17/2022	GRU-COL		Cohort;Exome Sequencing;RNA Sequencing	Multiple Cancer Types	36	36	https://www.cancer.gov/about-cancer/treatment/clinical-trials/nci-supported/nci-match	MLH1;MSH2	Turcot syndrome	Turcot syndrome;Blastoma;CA;CA - Cancer;Cancer;MT	Cancer Research Data Commons (CRDC);NCI Genomic Data Commons (GDC)
dataset	fc7043ca-8f90-54bb-89b1-059fa517111e	CRDC	Detection of Colorectal Cancer Susceptibility Loci Using Genome-Wide Sequencing	<p>The Genetics and Epidemiology of Colorectal Cancer Consortium (GECCO) is a collaborative effort comprised of a coordinating center and scientific researchers from well-characterized cohort and case-control studies. This international consortium aims to accelerate the discovery of common and rare genetic risk variants for colorectal cancer by conducting large-scale meta-analyses of existing and newly generated genome-wide association study (GWAS) data, whole genome sequencing, replicating and fine-mapping of genetic discoveries, and investigating how genetic risk variants are modified by environmental risk factors. To expand these efforts, we assembled case-control sets or nested case-control sets from 6 different North American or European studies. Summary descriptions and study participant inclusions/exclusion criteria for each of these studies are detailed below.</p> <p><b><a href='https://www.cancer.org/research/population-science/cancer-prevention-and-survivorship-research-team/acs-cancer-prevention-studies/cancer-prevention-study-2.html' target='_blank'>Cancer Prevention Study II (CPS II)</a>: </b>The CPS II Nutrition cohort is a prospective study of cancer incidence and mortality in the United States, established in 1992 and described in detail elsewhere (Calle et al., 2002 <a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=12015775'>PMID:12015775</a>; Campbell et al., 2014 <a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=25472679'>PMID:25472679</a>). At enrollment, participants completed a mailed self-administered questionnaire including information on demographic, medical, diet, and lifestyle factors. Follow-up questionnaires to update exposure information and to ascertain newly diagnosed cancers were sent biennially starting in 1997. Reported cancers were verified through medical records, state cancer registry linkage, or death certificates. The Emory University Institutional Review Board approves all aspects of the CPS II Nutrition Cohort. We restricted to samples that had blood DNA source. Controls were matched to cases in a case/control ratio of 2:1 on reference year and sex.</p> <p><b><a href='http://dachs.dkfz.org/dachs/' target='_blank'>Darmkrebs: Chancen der Verh&#252;tung durch Screening</a> (DACHS):</b> This German study was initiated as a large population-based case-control study in 2003 in the Rhine-Neckar-Odenwald region (southwest region of Germany) to assess the potential of endoscopic screening for reduction of colorectal cancer risk and to investigate etiologic determinants of disease, particularly lifestyle/environmental factors and genetic factors. Cases with a first diagnosis of invasive colorectal cancer (International Classification of Diseases 10 codes C18-C20) who were at least 30 years of age (no upper age limit), German speaking, a resident in the study region, and mentally and physically able to participate in a one-hour interview, were recruited by their treating physicians either in the hospital a few days after surgery, or by mail after discharge from the hospital. Cases were confirmed based on histologic reports and hospital discharge letters following diagnosis of colorectal cancer. All hospitals treating colorectal cancer patients in the study region participated. Based on estimates from population-based cancer registries, more than 50% of all potentially eligible patients with incident colorectal cancer in the study region were included. Community-based controls were randomly selected from population registries, employing frequency matching with respect to age (5-year groups), sex, and county of residence. Controls with a history of colorectal cancer were excluded. Controls were contacted by mail and follow-up calls. The participation rate was 51%. During an in-person interview, data were collected on demographics, medical history, family history of CRC, and various life-style factors, as were blood and mouthwash samples. Routine formalin-fixed, paraffin-embedded (FFPE) tumor samples from the patients enrolled were requested from the pathology institutes and used for tumor tissue analyses. This analysis includes participants with blood source DNA that were recruited up to 2010 in this ongoing study. Controls were matched to cases on reference age and sex in a case/control ratio of 2:1.</p> <p><b><a href='https://sites.sph.harvard.edu/hpfs/' target='_blank'>Health Professionals Follow-up Study</a> (HPFS): </b>A parallel prospective study to the NHS (Nurses' Health Study). The HPFS cohort comprised 51,529 men aged 40-75 who, in 1986, responded to a mailed questionnaire (Rimm et al., 1990 <a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=2090285'>PMID:2090285</a>). Participants provided information on health related exposures, including current and past smoking history, age, weight, height, diet, physical activity, aspirin use, and family history of colorectal cancer. Colorectal cancer and other outcomes were reported by participants or next-of-kin and were followed up through review of the medical and pathology record by physicians. Overall, more than 97% of self-reported colorectal cancers were confirmed by medical record review. Information was abstracted on histology and primary location. Incident cases were defined as those occurring after the subject provided the blood sample. Prevalent cases were defined as those occurring after enrollment in the study but before the subject provided the blood sample. Follow-up evaluation has been excellent, with 94% of the men responding to date. Colorectal cancer cases were ascertained through January 1, 2008. In 1993-1995, 18,825 men in the HPFS mailed blood samples by overnight courier, which were aliquoted into buffy coat and stored in liquid nitrogen. In 2001-2004, 13,956 men in the HPFS who had not provided a blood sample previously mailed in a swish-and-spit sample of buccal cells. Incident cases were defined as those occurring after the subject provided a blood or buccal sample. Prevalent cases were defined as those occurring after enrollment in the study in 1986, but before the subject provided either a blood or buccal sample. Participants with histories of cancer (except nonmelanoma skin cancer), ulcerative colitis, or familial polyposis, case-control sets were excluded. Control participants were required to be free of invasive colorectal cancer and non-invasive (stage 0 in situ) colorectal cancer. For this study, only European ancestry participants with blood source DNA and incident colorectal cancer cases were eligible for selection. Since enrollment year and sex matched exactly, controls were randomly selected in a case/control ratio of 2:1.</p> <p><b><a href='https://nurseshealthstudy.org/' target='_blank'>Nurses Health Study</a> (NHS): </b>The NHS cohort began in 1976 when 121,700 married female registered nurses age 30-55 years returned the initial questionnaire that ascertained a variety of important health-related exposures (Belanger et al., 1978 <a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=248266'>PMID:248266</a>). Since 1976, follow-up questionnaires have been mailed every 2 years. Colorectal cancer and other outcomes were reported by participants or next-of-kin and followed up through review of the medical and pathology record by physicians. Overall, more than 97% of self-reported colorectal cancers were confirmed by medical-record review. Information was abstracted on histology and primary location. The rate of follow-up evaluation has been high: as a proportion of the total possible follow-up time, follow-up evaluation has been more than 92%. Colorectal cancer cases were ascertained through June 1, 2008. In 1989-1990, 32,826 women in NHS I mailed blood samples by overnight courier, which were aliquoted into buffy coat and stored in liquid nitrogen. In 2001-2004, 29,684 women in NHS I who did not previously provide a blood sample mailed a swish-and-spit sample of buccal cells. Incident cases were defined as those occurring after the subject provided a blood or buccal sample. Prevalent cases were defined as those occurring after enrollment in the study in 1976 but before the subject provided either a blood or buccal sample. Participants with histories of cancer (except nonmelanoma skin cancer), ulcerative colitis, or familial polyposis, case-control sets were excluded. For this study, only European ancestry participants with blood source DNA and incident colorectal cancer cases were eligible for selection. Since enrollment year and sex matched exactly, controls were randomly selected in a case/control ratio of 2:1.</p> <p><b><a href='https://prevention.cancer.gov/major-programs/prostate-lung-colorectal-and-ovarian-cancer-screening-trial' target='_blank'>Prostate, Lung, Colorectal and Ovarian Cancer Screening Trail</a> (PLCO): </b>PLCO enrolled 154,934 participants (men and women, aged between 55 and 74 years) at ten centers into a large, randomized, two-arm trial to determine the effectiveness of screening to reduce cancer mortality. Sequential blood samples were collected from participants assigned to the screening arm. Participation was 93% at the baseline blood draw. White colorectal cancer cases with a family history of colorectal cancer (no history of ulcerative colitis, Crohn's Disease, diverticulitis, Gardner's syndrome, Familial Polyposis) and successful genotyping from previous Peters GWAS were selected for this project. Controls were matched to cases on reference age and sex in a case/control ratio of 2:1.</p> <p><a href='https://www.nhlbi.nih.gov/science/womens-health-initiative-whi' target='_blank'><b>Women's Health Initiative</b></a><b> (WHI): </b>WHI is a long-term national health study that has focused on strategies for preventing heart disease, breast and colorectal cancer, and osteoporotic fractures in postmenopausal women. The original WHI study included 161,808 postmenopausal women enrolled between 1993 and 1998. The Fred Hutchinson Cancer Research Center in Seattle, WA serves as the WHI Clinical Coordinating Center for data collection, management, and analysis of the WHI. The WHI has two major parts: a partial factorial randomized Clinical Trial (CT) and an Observational Study (OS); both were conducted at 40 Clinical Centers nationwide. The CT enrolled 68,132 postmenopausal women between the ages of 50-79 into trials testing three prevention strategies. If eligible, women could choose to enroll in one, two, or all three of the trial components. The components are: <b>Hormone Therapy Trials (HT): </b>This double-blind component examined the effects of combined hormones or estrogen alone on the prevention of coronary heart disease and osteoporotic fractures, and associated risk for breast cancer. Women participating in this component with an intact uterus were randomized to estrogen plus progestin (conjugated equine estrogens [CEE], 0.625 mg/d plus medroxyprogesterone acetate [MPA] 2.5 mg/d) or a matching placebo. Women with prior hysterectomy were randomized to CEE or placebo. Both trials were stopped early, in July 2002 and March 2004, respectively, based on adverse effects. All HT participants continued to be followed without intervention until close-out. <b>Dietary Modification Trial (DM):</b> The Dietary Modification component evaluated the effect of a low-fat and high fruit, vegetable and grain diet on the prevention of breast and colorectal cancers and coronary heart disease. Study participants were randomized to either their usual eating pattern or a low-fat dietary pattern. <b>Calcium/Vitamin D Trial (CaD): </b>This double-blind component began 1 to 2 years after a woman joined one or both of the other clinical trial components. It evaluated the effect of calcium and vitamin D supplementation on the prevention of osteoporotic fractures and colorectal cancer. Women in this component were randomized to calcium (1000 mg/d) and vitamin D (400 IU/d) supplements or a matching placebo. The <b>Observational Study (OS)</b> examines the relationship between lifestyle, environmental, medical and molecular risk factors and specific measures of health or disease outcomes. This component involves tracking the medical history and health habits of 93,676 women not participating in the CT. Recruitment for the observational study was completed in 1998 and participants were followed annually for 8 to 12 years. All centrally confirmed White cases of invasive colorectal cancer, or death from colorectal cancer were selected as potential cases from the March, 2011 database. Case priory lists are: 1) have positive family history of colorectal cancer; 2) randomly select cases until we get a total of n=800 cases. Control participants were required to be White, free of invasive colorectal cancer and non-invasive (stage 0 in situ) colorectal cancer. Centrally denied cases of colorectal cancer were not allowed into the control pool. Case and control participants were subject to the following exclusion criteria: (1) had prior history of colorectal cancer at baseline; (2) had no available DNA (DNA searching as Nov 15, 2012); (3) cannot be deposited to dbGaP; (4) lost to follow-up after enrollment; (5) selected for WHI study M26 Phase II. Controls were matched to cases in a case/control ratio of 2:1. In order to get 2 cases with 1 control, cases were grouped by enrollment year (a total of 5 groups). For each year group, around 50% cases were selected to match controls. In total, 401 cases were selected to match controls. Matching was done on enrollment year, which was matched exactly. For additional information, see <a href='https://www.ncbi.nlm.nih.gov/gap/advanced_search/?TERM=phs000200' target='_blank'>dbGaP: phs000200</a> and <a href='https://clinicaltrials.gov/ct2/show/NCT00000611' target='_blank'>ClinicalTrials: NCT00000611</a>.</p>	phs001554	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001554	Ulrike Peters, PhD	Emilie Charlisse Caga-Anan	Division of Cancer Control and Population Sciences (DCCPS)	30510241	U01 CA164930	9/19/2022	HMB-IRB;HMB-IRB-NPU;GRU;DS-CC-NPU-GSO;CADM	Seq_DNA_SNP_CNV;WGS	Case-Control;Cohort;Nested Case-Control	Colorectal Cancer	2892	2892				CRC;Cancer of Large Bowel;Cancer of Large Intestine;Cancer of the Large Bowel;Cancer of the Large Intestine;Cancer, Colorectal	Cancer Research Data Commons (CRDC)
dataset	edacf204-36df-5cb5-ba64-8c7b5fa0ea42	CRDC	UCSF Database for the Advancement of JMML - Integration of Metadata with Omic Data	<p>Juvenile myelomonocytic leukemia (JMML) is a rare and frequently fatal myeloproliferative/myelodysplastic disorder of early childhood with an estimated incidence of 1.2 cases per million. It is associated with a spectrum of diverse outcomes ranging from spontaneous resolution in rare patients to transformation to acute myeloid leukemia in others. The overwhelming majority of JMML patients (~95%) will harbor mutations in canonical Ras pathway genes, including <i><a href='https://www.ncbi.nlm.nih.gov/gene/4763' target='_blank'>NF1</a></i>, <i><a href='https://www.ncbi.nlm.nih.gov/gene/4893' target='_blank'>NRAS</a></i>, <i><a href='https://www.ncbi.nlm.nih.gov/gene/3845' target='_blank'>KRAS</a></i>, <i><a href='https://www.ncbi.nlm.nih.gov/gene/5781' target='_blank'>PTPN11</a></i>, and <i><a href='https://www.ncbi.nlm.nih.gov/gene/867' target='_blank'>CBL</a></i>. As Ras proteins are mutated in more than 30% of human cancers, the information gleaned from the study of JMML has provided insights into Ras signaling in cancer as well as a group of congenital diseases with tumor predispositions known as the &#8220;Rasopathies&#8221;. While oncogenic Ras is one of the most common mutations in human cancer, it remains one of the most vexing targets for efficacious therapy.</p><p> </p><div> </div><div>To better understand this disease, a JMML tissue bank was established at UCSF that allows for consenting of subjects, biobanking of tissue and collection of follow up data from patients both locally and at other institutions. Through the collection and analysis of specimens, knowledge about the genetic, epigenetic, and biochemical basis of JMML has been gained. This integrated database will enable future JMML research, and importantly, additional Ras/MAPK pathway research by depositing linked, processed data to well annotated anonymized patients in an easily accessible online database </div><br><p></p>	phs002504	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002504	Elliot Stieglitz, MD	Freddie Pruitt	Center for Cancer Genomics (CCG)	25704135;26457647;29259179;29528181;31347788;31511612;32815876;33139265;33375775		8/5/2022	GRU	AMPLICON;WGA;Bisulfite-Seq;RNA-Seq;WXS	Clinical Cohort;Epigenetics;Exome Sequencing;Individual-Level Genomic Data;Longitudinal;Transcriptome Sequencing;Tumor vs. Matched-Normal	Leukemias	188	328		RUNX1;CBL;DNMT3A;EZH2;FLT3;GATA2;JAK3;KRAS;NF1;NRAS;PTPN11;RRAS;ZRSR2;SH2B3;RRAS2;SETBP1;ASXL1	Neurofibromatosis 1	Neurofibromatosis 1;JCML;JCML - Juvenile chronic myeloid leukemia;JMML;Juvenile Chronic Myelogenous Leukemia;Juvenile Myelomonocytic Leukemias	Cancer Research Data Commons (CRDC);NCI Genomic Data Commons (GDC)
dataset	afcd1bd1-c9c3-5dd9-bf62-2c642dc060ef	CRDC	CIDR: Discovery, Biology, and Risk of Inherited Variants in Glioma	<p>This is a gliogene brain tumor family study. This study includes glioma cases with a family history of glioma in a first, second, or third degree relative.&nbsp; </p>	phs002250	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002250	Melissa Bondy	Emilie Charlisse Caga-Anan	Division of Cancer Control and Population Sciences (DCCPS)	28346443;25482530	R01CA217105, X01HG009883, R01CA139020;HHSN268201700006I, NIH contract 'High throughput genotyping for studying the genetic contributions to human disease'	7/22/2022	NRUP;GRU	Seq_DNA_SNP_CNV;WGS	Family;Whole Genome Sequencing	Gliomas	171	146	http://www.gliogene.org			Glial Cell Tumor;Glial Cell Tumors;Glial Neoplasm;Glial Tumor;Neoplasm of Neuroglia;Neoplasm of the Neuroglia	Cancer Research Data Commons (CRDC)
dataset	e62c9517-1925-5c81-8701-fe8b9227406c	CRDC	NCI CCSG CCDI Supplement Additional Genomic Submission	<p>The implementation of targeted therapies for acute myeloid leukaemia (AML) has been challenging because of the complex mutational patterns within and across patients as well as a dearth of pharmacologic agents for most mutational events. This supplement data from the Beat AML program provides Adolescent and Young Adult (AYA) and pediatric tumor specimens not previously released. These data include exome and RNA level characterization as well as analyses of <i>ex vivo</i> drug sensitivity. Collectively, this data can be leveraged to address clinical, genomic, transcriptomic and functional analyses of the biology of leukemia in pediatric and AYA populations. </p>	phs002599	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002599	Jeffrey Tyner, PhD	Freddie Pruitt	Center for Cancer Genomics (CCG)		Leukemia and Lymphoma Society;5P30CA069533	6/9/2022	GRU	RNA-Seq;WXS;Targeted-Capture	Case Set;Exome Sequencing;RNA Sequencing	Pediatric Cancer	104	203			Neoplasms	AML;AML - Acute Myeloid Leukemia;AML - Acute myeloblastic leukemia;AML - acute myeloid leukaemia;AML adult;ANLL	Cancer Research Data Commons (CRDC);NCI Genomic Data Commons (GDC)
dataset	711254b8-4257-514f-becc-e77677fd3263	CRDC	Washington University PDX Development and Trial Center	<p>This data set is a collection of patient specimens from common and rare cancers that have been developed into patient-derived xenograft (PDX) models at the Washington University PDX Development and Trial Center (WU-PDTC). The goal of the PDTC is to develop and characterize PDX models, gaining insight into tumor biology, and validating biomarkers across all major tumor types. Pre-clinical experiments in these PDX models will be used to advance our ability to predict clinical responses to new molecularly targeted agents under development.</p>	phs002305	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002305	Govindan Ramaswamy;Li Ding;Shunqiang Li	Grace Mishkin	Division of Cancer Treatment and Diagnosis (DCTD)	34429404		5/26/2022	DS-SARC;GRU		Tumor;Tumor vs. Matched-Normal	Multiple Cancer Types	127	495			Gastrointestinal Neoplasms;Pancreatic Neoplasms;Colonic Neoplasms;Rectal Neoplasms;Melanoma;Urinary Bladder Neoplasms;Head and Neck Neoplasms;Carcinoma, Squamous Cell;Lung Neoplasms;Breast Neoplasms;Kidney Neoplasms;Soft Tissue Neoplasms;Bone Neoplasms	Bone Neoplasms;Gastrointestinal Neoplasms;Kidney Neoplasms;Lung Neoplasms;Rectal Neoplasms;Soft Tissue Neoplasms	Cancer Research Data Commons (CRDC)
dataset	aefa77dd-6601-5ff2-a838-7bd1372ebc62	CRDC	Feasibility and Clinical Utility of Whole Genome Profiling in Pediatric and Young Adult Cancers	<div>Comprehensive Whole Genome Sequencing and Whole Transcriptome (RNASeq) analyses from 114 pediatric patients at Memorial Sloan Kettering. This dataset was used as a prospective clinical utility and feasibility study. By using our <a href='https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-020-03879-7' target='_blank' style='font-family: sans-serif; background-color: rgb(255, 255, 255);'>Isabl</a> infrastructure for precision medicine, we developed a 2-week end-to-end pipeline to analyze cfDNA, WGS and WTS, which we refer to as cWGTS.</div>	phs002620	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002620	Elli Papaemmanuil;Andrew Kung	Joseph Flores-Toro	Office of Data Sharing (ODS)		The Scarlett Fund. Olayan Fund for Precision Pediatric Cancer Medicine.	5/2/2022	GRU	RNA-Seq;WGS	Case Set;Clinical Cohort;Prospective	Pediatric Cancer	114	326			Pediatrics;Whole Genome Sequencing;RNA-Seq	Blastoma;CA;CA - Cancer;Cancer;MT;Malignancies	Cancer Research Data Commons (CRDC);NCI Genomic Data Commons (GDC)
